date,Size USD
2023-05-01,477.0
2023-12-05,50005.83
2023-12-14,113203.35
2023-12-15,10609.95
2023-12-16,15348.77
2023-12-17,116278.02
2023-12-18,31164.179999999997
2023-12-19,91602.41
2023-12-20,141636.79
2023-12-21,125233.97
2023-12-22,88874.28
2023-12-23,78438.25
2023-12-24,402954.94
2023-12-25,59948.51
2023-12-27,171411.06
2023-12-28,100117.25
2023-12-29,569559.72
2023-12-30,702550.21
2024-01-01,264239.52999999997
2024-01-02,121348.74
2024-01-03,394499.36
2024-01-04,99792.54000000001
2024-01-05,1703942.66
2024-01-06,298521.4
2024-01-07,1048850.06
2024-01-08,1522452.43
2024-01-09,870051.97
2024-01-10,2057479.48
2024-01-11,305314.1
2024-01-12,200082.27
2024-01-15,50636.1
2024-01-16,116427.33
2024-01-17,800831.03
2024-01-18,424631.52999999997
2024-01-19,428428.97
2024-01-20,1070090.51
2024-01-21,103129.74
2024-01-22,337878.99
2024-01-23,414518.93000000005
2024-01-24,965084.59
2024-01-25,66566.13
2024-01-26,11773.21
2024-01-28,18109.03
2024-01-29,414208.18
2024-01-30,401011.38
2024-01-31,6305647.13
2024-02-01,2008.18
2024-02-02,474278.43
2024-02-03,603820.0
2024-02-04,203187.53
2024-02-05,770198.26
2024-02-06,8047153.41
2024-02-07,6758.73
2024-02-08,26051.12
2024-02-11,212311.82
2024-02-12,227247.69999999998
2024-02-13,1999.99
2024-02-14,320839.88
2024-02-15,185188.04
2024-02-16,564896.51
2024-02-17,406118.07
2024-02-18,157048.17
2024-02-19,286377.2
2024-02-20,119419.72
2024-02-21,108047.51999999999
2024-02-22,373033.87
2024-02-23,111106.14
2024-02-25,4480.13
2024-02-26,192187.14
2024-02-27,209362.3
2024-02-28,171107.13
2024-02-29,395666.73
2024-03-01,472974.7
2024-03-02,63197.56
2024-03-03,390745.68
2024-03-04,1577996.87
2024-03-05,841810.32
2024-03-06,327218.02
2024-03-08,183583.18
2024-03-09,658178.75
2024-03-10,219973.85
2024-03-11,176519.44999999998
2024-03-12,103040.85
2024-03-13,6000.799999999999
2024-03-14,205933.18
2024-03-15,351894.41
2024-03-16,37223.66
2024-03-17,99506.95
2024-03-18,90458.08
2024-03-19,219884.84
2024-03-20,215705.85
2024-03-21,117895.57
2024-03-24,92592.20999999999
2024-03-25,57116.32
2024-03-26,198565.19
2024-03-27,99864.79
2024-03-28,35323.72
2024-03-29,86914.37
2024-03-30,101103.92
2024-03-31,39912.96
2024-04-01,339470.47
2024-04-02,239664.50999999998
2024-04-03,16887.57
2024-04-04,95987.73
2024-04-05,503791.8
2024-04-06,68223.67
2024-04-07,49988.14
2024-04-08,211940.64
2024-04-09,57063.840000000004
2024-04-10,351735.97
2024-04-11,76400.96
2024-04-12,442088.59
2024-04-13,486411.25
2024-04-14,659162.17
2024-04-15,291111.19
2024-04-16,181907.17
2024-04-17,97562.99
2024-04-19,337257.92000000004
2024-04-20,60733.24
2024-04-22,47993.61
2024-04-23,233054.9
2024-04-24,141275.24
2024-04-25,120241.01
2024-04-26,4988.290000000001
2024-04-27,154264.47
2024-04-28,43985.6
2024-04-29,108699.01
2024-04-30,125018.75
2024-05-01,87025.45
2024-05-03,282682.64999999997
2024-05-04,58998.75
2024-05-05,24068.350000000002
2024-05-06,206016.43
2024-05-07,108717.58
2024-05-08,65973.57
2024-05-09,221966.12
2024-05-10,156882.0
2024-05-11,63248.95
2024-05-12,55179.56
2024-05-13,193118.9
2024-05-14,145853.4
2024-05-15,234922.57
2024-05-16,162620.96
2024-05-18,126303.14
2024-05-19,29998.09
2024-05-20,38124.75
2024-05-21,1100948.59
2024-05-22,44995.29
2024-05-23,401850.6
2024-05-24,50811.899999999994
2024-05-25,29991.129999999997
2024-05-26,53976.67
2024-05-27,151115.72
2024-05-29,84268.76
2024-05-30,2838.09
2024-05-31,3636.14
2024-06-01,12834.62
2024-06-02,29464.51
2024-06-03,21466.86
2024-06-04,24243.41
2024-06-05,25350.77
2024-06-06,137557.76
2024-06-07,1098588.76
2024-06-08,97351.88
2024-06-09,22410.22
2024-06-10,46587.93
2024-06-11,373279.92
2024-06-12,193407.96
2024-06-13,132577.22
2024-06-14,139868.66
2024-06-15,718350.25
2024-06-16,25235.079999999998
2024-06-17,368380.12
2024-06-18,263314.79
2024-06-19,417071.12
2024-06-20,207990.8
2024-06-21,176264.49
2024-06-22,169594.27000000002
2024-06-23,1792.12
