date,Trades
2023-05-01,3
2023-12-05,9
2023-12-14,11
2023-12-15,2
2023-12-16,3
2023-12-17,14
2023-12-18,2
2023-12-19,15
2023-12-20,18
2023-12-21,49
2023-12-22,10
2023-12-23,13
2023-12-24,39
2023-12-25,3
2023-12-27,28
2023-12-28,23
2023-12-29,50
2023-12-30,52
2024-01-01,18
2024-01-02,17
2024-01-03,67
2024-01-04,5
2024-01-05,66
2024-01-06,22
2024-01-07,97
2024-01-08,128
2024-01-09,70
2024-01-10,193
2024-01-11,21
2024-01-12,7
2024-01-15,14
2024-01-16,9
2024-01-17,53
2024-01-18,46
2024-01-19,48
2024-01-20,106
2024-01-21,11
2024-01-22,85
2024-01-23,45
2024-01-24,68
2024-01-25,6
2024-01-26,5
2024-01-28,11
2024-01-29,74
2024-01-30,49
2024-01-31,859
2024-02-01,6
2024-02-02,42
2024-02-03,56
2024-02-04,35
2024-02-05,72
2024-02-06,1088
2024-02-07,15
2024-02-08,10
2024-02-11,34
2024-02-12,16
2024-02-13,14
2024-02-14,111
2024-02-15,63
2024-02-16,182
2024-02-17,94
2024-02-18,97
2024-02-19,101
2024-02-20,39
2024-02-21,22
2024-02-22,88
2024-02-23,143
2024-02-25,5
2024-02-26,39
2024-02-27,63
2024-02-28,45
2024-02-29,116
2024-03-01,137
2024-03-02,31
2024-03-03,79
2024-03-04,300
2024-03-05,180
2024-03-06,82
2024-03-08,67
2024-03-09,117
2024-03-10,42
2024-03-11,42
2024-03-12,8
2024-03-13,7
2024-03-14,18
2024-03-15,62
2024-03-16,8
2024-03-17,23
2024-03-18,19
2024-03-19,24
2024-03-20,69
2024-03-21,28
2024-03-24,19
2024-03-25,7
2024-03-26,118
2024-03-27,38
2024-03-28,13
2024-03-29,15
2024-03-30,45
2024-03-31,13
2024-04-01,77
2024-04-02,41
2024-04-03,4
2024-04-04,32
2024-04-05,100
2024-04-06,16
2024-04-07,23
2024-04-08,30
2024-04-09,3
2024-04-10,41
2024-04-11,16
2024-04-12,129
2024-04-13,89
2024-04-14,107
2024-04-15,41
2024-04-16,47
2024-04-17,14
2024-04-19,35
2024-04-20,22
2024-04-22,9
2024-04-23,66
2024-04-24,20
2024-04-25,74
2024-04-26,3
2024-04-27,27
2024-04-28,58
2024-04-29,45
2024-04-30,24
2024-05-01,14
2024-05-03,36
2024-05-04,9
2024-05-05,6
2024-05-06,9
2024-05-07,18
2024-05-08,13
2024-05-09,28
2024-05-10,22
2024-05-11,9
2024-05-12,23
2024-05-13,28
2024-05-14,23
2024-05-15,36
2024-05-16,27
2024-05-18,25
2024-05-19,8
2024-05-20,10
2024-05-21,125
2024-05-22,6
2024-05-23,325
2024-05-24,2
2024-05-25,16
2024-05-26,16
2024-05-27,251
2024-05-29,164
2024-05-30,7
2024-05-31,13
2024-06-01,25
2024-06-02,93
2024-06-03,70
2024-06-04,53
2024-06-05,54
2024-06-06,234
2024-06-07,440
2024-06-08,29
2024-06-09,17
2024-06-10,53
2024-06-11,123
2024-06-12,254
2024-06-13,79
2024-06-14,31
2024-06-15,78
2024-06-16,11
2024-06-17,38
2024-06-18,25
2024-06-19,61
2024-06-20,39
2024-06-21,80
2024-06-22,24
2024-06-23,5
2024-06-24,31
2024-06-25,49
2024-06-26,72
2024-06-27,30
2024-06-29,75
2024-06-30,14
2024-07-01,64
2024-07-02,18
2024-07-03,18
2024-07-04,25
2024-07-05,32
2024-07-06,24
2024-07-07,10
2024-07-08,1
2024-07-09,15
2024-07-10,56
2024-07-11,19
2024-07-12,19
2024-07-13,17
2024-07-14,7
2024-07-15,26
2024-07-16,22
2024-07-17,351
2024-07-18,60
2024-07-19,23
2024-07-20,266
2024-07-21,448
2024-07-22,154
2024-07-23,370
2024-07-24,90
2024-07-25,78
2024-07-26,152
2024-07-27,57
2024-07-28,16
2024-07-29,39
2024-07-30,6
2024-07-31,43
2024-08-01,57
2024-08-02,63
2024-08-03,37
2024-08-04,127
2024-08-05,80
2024-08-06,107
2024-08-07,33
2024-08-08,9
2024-08-09,144
2024-08-10,88
2024-08-11,24
2024-08-12,48
2024-08-13,23
2024-08-14,25
2024-08-15,12
2024-08-16,35
2024-08-17,30
2024-08-18,15
2024-08-19,8
2024-08-20,12
2024-08-21,145
2024-08-23,10
2024-08-24,7
2024-08-25,17
2024-08-26,6
2024-08-27,50
2024-08-28,9
2024-08-29,1
2024-08-30,6
2024-08-31,34
2024-09-01,12
2024-09-02,2
2024-09-04,34
2024-09-05,1
2024-09-06,42
2024-09-08,1
2024-09-09,2
2024-09-10,3
2024-09-11,1
