Account,Total_Trades,Winning_Trades,Win_Rate
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1373,35.961236249345205
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,3223,44.27197802197802
0x271b280974205ca63b716753467d5a371de622ab,3809,1150,30.191651352060912
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,5838,43.85846292540004
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,1684,51.99135535659154
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,371,45.52147239263803
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,1176,32.76678740596267
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,158,47.59036144578313
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,90,23.49869451697128
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,599,48.42360549717058
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,3011,35.34452400516492
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,2118,48.62258953168045
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,2733,36.03639240506329
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,4909,40.119320039228505
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,421,43.17948717948718
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,550,34.59119496855346
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,432,30.337078651685395
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,8022,81.08763772364298
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,705,45.22129570237332
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,1761,38.274288198217775
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,631,33.01936159079016
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,3929,26.19682624349913
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,871,28.538663171690693
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,5396,34.57866068567767
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,239,57.31414868105516
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,230,40.852575488454704
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,172,32.20973782771536
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,4967,33.713432430597976
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,2122,43.861099627945435
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,9909,46.75821064552662
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,865,32.75274517228323
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,17208,42.8230141349791
